microsoft,2301,"[""windows_10"",""office"",""internet_explorer"","".net_framework"",""edge_chromium-based"",""onedrive"",""project"",""teams"",""teams_machine_wide_installer"",""visio"",""visual_c++"",""windows_defender"",""skype_for_business"",""visual_basic_for_applications"",""windows_10_update_assistant"",""silverlight"",""asp.net"",""visual_studio_code"",""office_proofing_tools"",""powershell"",""sharepoint_designer"",""remote_desktop_connection_manager"",""edge"",""xml_core_services"",""sql_server"",""sql_server_2014"",""infopath_2013"",""system_center_operations_manager"",""iis"",""report_viewer"",""sql_server_management_studio"",""visual_studio_2010_shell"",""visual_studio"",""onenote"",""visual_studio_2015_shell"",""visual_studio_2017"",""visual_studio_team_foundation_server"",""sql_server_2017"",""visio_viewer_2013"",""sql_server_2019"",""access_2010"",""excel_2010"",""groove_2010"",""infopath_2010"",""office_2010"",""onenote_2010"",""outlook_2010"",""powerpoint_2010"",""publisher_2010"",""word_2010"",""windows_admin_center"",""visio_2013"",""visual_studio_2019"","".net_framework_developer_pack"",""office_web_components"",""sql_server_reporting_services"",""visual_j#"",""visio_viewer_2016"",""sql_server_2012"",""configuration_manager"",""remote_desktop"",""outlook"",""project_2010"",""visual_studio_2015"",""visual_studio_2015_devenv"",""powertoys"",""debug_diagnostic_tool"",""access_2013"",""excel_2013"",""groove_2013"",""lync_2013"",""office_2013"",""onenote_2013"",""outlook_2013"",""powerpoint_2013"",""publisher_2013"",""word_2013""]"
7-zip,2266,"[""7-zip"",""7zip""]"
google,1832,"[""chrome"",""earth"",""update_helper"",""chrome_remote_desktop_host"",""toolbar_for_internet_explorer"",""picasa"",""drive"",""talk_plugin"",""earth_plug-in"",""sketchup""]"
adobe,1803,"[""acrobat_reader_dc"",""acrobat_dc"",""creative_cloud"",""illustrator"",""flash_player"",""photoshop"",""acrobat"",""bridge"",""indesign"",""reader_extended_language_support_font_pack"",""air"",""premiere_elements"",""lightroom"",""photoshop_elements"",""pdf_settings_cs5"",""creative_suite_3_design_standard"",""pdf_settings"",""reader"",""after_effects"",""animate"",""character_animator"",""dreamweaver"",""media_encoder"",""premiere_pro"",""audition"",""premiere_rush"",""anchor_service_cs4"",""cmaps_cs4"",""color_extra_settings_cs4"",""color_recommended_settings_cs4"",""csi_cs4"",""setup"",""suite_shared_configuration_cs4"",""winsoft_linguistics_plugin"",""xmp_panels_cs4"",""bridge_cs4"",""color_common_setcmyk"",""color_common_setrgb"",""color_photoshop_specific_cs4"",""color_video_profiles_cs_cs4"",""device_central_cs4"",""drive_cs4"",""extendscript_toolkit_cs4"",""extension_manager_cs4"",""fonts_all"",""kuler"",""linguistics_cs4"",""media_player"",""output_module"",""pdf_settings_cs4"",""photoshop_cs4"",""photoshop_cs4_support"",""search_for_help"",""service_manager_extension"",""type_support_cs4"",""photoshop_cs5"",""asset_services"",""indesign_cs4"",""indesign_cs4_common_base_files"",""indesign_cs4_icon_handler"",""sgm_cs4"",""sing_cs4"",""version_cue_cs4_server"",""incopy"",""digital_editions"",""captivate"",""captivate_quiz_results_analyzer"",""captivate_reviewer"",""community_help"",""anchor_service_cs3"",""asset_services_cs3"",""bridge_cs3"",""bridge_start_meeting"",""camera_raw"",""cmaps"",""color_common_settings"",""color_extra_settings"",""color_photoshop_specific"",""device_central_cs3"",""extendscript_toolkit"",""help_viewer"",""linguistics_cs3"",""photoshop_cs3"",""stock_photos_cs3"",""type_support"",""version_cue_cs3_client"",""xmp_panels_cs3"",""acrobat_reader_dc_language_pack"",""connect_addin"",""bridge_cc"",""extension_manager""]"
intel,1681,"[""management_engine_components"",""proset_wireless"",""proset_wireless_software_and_drivers"",""proset_wireless_wifi"",""processor_graphics"",""chipset_device_software"",""dynamic_platform_and_thermal_framework"",""rapid_storage_technology"",""hardware_accelerated_execution_manager"",""network_connections"",""usb_3.0_extensible_host_controller_driver"",""mpi_library"",""software_manager"",""computing_improvement_program"",""control_center"",""parallel_studio_xe"",""driver&support_assistant""]"
mozilla,1570,"[""firefox"",""firefox_esr"",""thunderbird""]"
dell,1561,"[""command_update"",""supportassist"",""update"",""digital_delivery"",""alienware_update"",""command|configure"",""support"",""precision_optimizer"",""edoc_viewer""]"
realtek,1527,"[""hd_audio_codec_drivers""]"
oracle,1447,"[""jdk"",""jre"",""mysql"",""mysql_connector/j"",""mysql_documents"",""mysql_examples_and_samples"",""mysql_installer"",""mysql_connector/odbc"",""vm_virtualbox"",""virtualbox"",""mysql_workbench"",""odac_documentation_for_visual_studio""]"
videolan,1232,"[""vlc_media_player""]"
postgresql,943,"[""postgresql""]"
waves,879,"[""maxxaudio""]"
zoom,637,"[""zoom""]"
apple,450,"[""apple_application_support"",""apple_mobile_device_support"",""bonjour"",""icloud"",""itunes"",""software_update"",""quicktime"",""tvos"",""mdnsresponder""]"
alps,420,"[""touch_pad_driver""]"
python,379,"[""python""]"
flexera,373,"[""flexnet_publisher"",""installshield""]"
notepad_plus_plus,347,"[""notepad++""]"
autoit,336,"[""autoit""]"
inkscape,289,"[""inkscape""]"
pdfforge,283,"[""pdfcreator"",""pdf_architect""]"
dotpdn,271,"[""paint.net""]"
hp,258,"[""cio_components_installer"",""content_manager"",""support_solution_framework"",""8500a909_edocs"",""bpd_dswizards"",""bpd_scan"",""bpdsoftware"",""bpdsoftware_ini"",""bufferchm"",""customer_participation_program"",""destinations"",""device_discovery"",""document_manager"",""fax"",""hpssupply"",""imaging_device_functions"",""marketresearch"",""network"",""ocr_software_by_i.r.i.s"",""product_assistant"",""productcontext"",""scan"",""shop_for_hp_supplies"",""smart_web_printing"",""solution_center"",""status"",""toolbox"",""trayapp"",""update"",""bidi_channel_components_installer"",""icc_profiles"",""support_assistant"",""system_event_utility""]"
dropbox,193,"[""dropbox""]"
gimp,141,"[""gimp""]"
nvidia,130,"[""control_panel"",""install_application"",""geforce_experience"",""physx_system_software"",""wmi"",""nview"",""stereoscopic_3d_driver""]"
winscp,116,"[""winscp""]"
faststone,114,"[""faststone_image_viewer""]"
mcafee,110,"[""security_scan_plus"",""siteadvisor"",""livesafe"",""internet_security_suite"",""true_key""]"
cisco,109,"[""webex_meetings"",""diagnostic_anyconnect_reporting_tool"",""anyconnect_secure_mobility_client"",""webex"",""network_recording_player""]"
spotify,108,"[""spotify""]"
filezilla,91,"[""filezilla"",""filezilla_server""]"
nodejs,71,"[""nodejs""]"
amd,63,"[""catalyst_control_center"",""catalyst_control_center_branding"",""catalyst_control_center_installproxy"",""catalyst_install_manager"",""catalyst_control_center_graphics_previews_common"",""hydravision""]"
artifex,60,"[""gpl_ghostscript""]"
dymo,51,"[""dymo_label""]"
